measuring location,id,datetime,S3 location,IP address,network latency,1kb (retrieval latency),10kb,100kb,1mb,10mb
california,66,19.11-17.40,ireland,54.230.143.227,3.308,.004951,.002199,.002276,.002710,.003048,
california,67,19.11-18.40,ireland,54.230.118.138,0.740,,.000400,.000746,.000643,.000697,
california,68,19.11-19.40,ireland,54.239.132.173,0.777,.000618,.000441,.000685,.000669,.000628,
california,69,19.11-20.40,ireland,54.230.119.86,0.751,.000687,.000710,.000433,.000627,.000616,
california,70,19.11-21.40,ireland,54.230.119.118,0.803,.000721,.000676,.000409,.000473,.000634,
california,71,19.11-22.40,ireland,54.230.117.156,0.807,.000667,.000681,.000664,.000692,.000591,
california,72,19.11-23.40,ireland,54.230.119.189,0.700,.000798,.000671,.000683,.000708,.000713,
california,73,20.11-00.40,ireland,54.192.118.243,0.841,.000665,.000672,.000479,.000626,.000683,
california,74,20.11-01.40,ireland,54.230.118.136,0.813,.000660,.000641,.000679,.000672,.000454,
california,75,20.11-02.40,ireland,54.230.119.58,0.869,.000638,.000684,.000699,.000622,.000620,
california,76,20.11-03.40,ireland,54.239.132.98,0.838,.000653,.000660,.000715,.000666,.000704,
california,77,20.11-04.40,ireland,54.239.132.250,0.829,,,,.000697,.000629,
california,78,20.11-05.40,ireland,54.192.118.222,0.754,.000613,.000464,.000455,.000475,.000453,
california,79,20.11-06.40,ireland,54.230.118.187,1.001,.000656,.000612,.000405,.000697,.000793,
california,80,20.11-07.40,ireland,54.239.132.147,0.839,.000652,.000653,.000489,.000669,.000676,
california,81,20.11-08.40,ireland,54.230.117.86,0.881,.000428,.000537,.000625,.000679,.000496,
california,82,20.11-09.40,ireland,,2.281,.002275,.002139,.003209,.002996,,
california,83,20.11-10.40,ireland,54.239.132.147,0.734,.000449,.000696,.000696,.000502,.000422,
california,84,20.11-11.40,ireland,54.230.117.69,0.846,.000480,.000691,.000696,.000627,.000692,
california,85,20.11-12.40,ireland,54.230.117.50,0.789,.000694,.000679,.000700,.000678,.000678,
california,86,20.11-13.40,ireland,54.192.118.232,0.832,.000636,.000550,.000680,.000726,.000659,
california,87,20.11-14.40,ireland,54.230.116.239,0.812,.000688,.000736,.000674,.000758,.000660,
california,88,19.11-17.40,sydney,54.230.143.14,3.321,.002686,.003204,.002952,.003275,.002847,
california,89,19.11-18.40,sydney,54.230.117.21,0.879,.000676,.000710,.000627,.000649,.000658,
california,90,19.11-19.40,sydney,54.230.118.138,0.721,.000419,.000461,.000673,.000667,.000648,
