[Measurement for 1mb at 13:38:46 16.38.2014] 
Ping request could not find host d17xdwadnyh5jz.cloudfront.net. Please check the name and try again.

Tshark:

  1   0.000000 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 DNS 98 Standard query 0x11b2  A graph.facebook.com
  2   0.038552 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 DNS 156 Standard query response 0x11b2  CNAME api.facebook.com CNAME star.c10r.facebook.com A 31.13.64.97
154   0.838851  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=119541 Win=257 Len=0
155   0.842493   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
156   0.842497   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
157   0.842498   82.96.58.7 -> 192.168.1.2  TLSv1.2 1454 Application Data
158   0.842500   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
159   0.842671  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=125141 Win=650 Len=0
160   0.844955   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
161   0.844958   82.96.58.7 -> 192.168.1.2  TLSv1.2 488 Application Data
162   0.844958   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
163   0.844960   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
164   0.844963   82.96.58.7 -> 192.168.1.2  TLSv1.2 1308 Application Data
165   0.845046  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=131029 Win=650 Len=0
166   3.639534  192.168.1.2 -> 192.241.187.124 SSL 55 Continuation Data
167   3.781907 192.241.187.124 -> 192.168.1.2  TCP 66 443→58317 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2
